_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
108.8304; -0.1614;999.0000;+99.0000; 56003;07 15 19.3;-00 09 41; 6.41; 0.90;  G5III
108.5633;-26.3525;999.0000;+99.0000; 56014;07 14 15.2;-26 21 09; 4.66;-0.19;  B3IIIe
108.3058;-45.1831;999.0000;+99.0000; 56022;07 13 13.4;-45 10 59; 4.89;-0.02;  A0pSi
108.9142; +7.9778;999.0000;+99.0000; 56031;07 15 39.4;+07 58 40; 5.82; 1.60;  M4-IIIab
108.3850;-44.6397;999.0000;+99.0000; 56096;07 13 32.4;-44 38 23; 5.10; 1.56;  M5IIIe
108.7029;-26.7728;999.0000;+99.0000; 56139;07 14 48.7;-26 46 22; 3.85;-0.17;  B2IV-Ve
108.7129;-27.0381;999.0000;+99.0000; 56160;07 14 51.1;-27 02 17; 5.58; 1.22;  K4III
109.6329;+49.4650;999.0000;+99.0000; 56169;07 18 31.9;+49 27 54; 5.05; 0.08;  A4IIIn
108.9296;-10.5839;999.0000;+99.0000; 56207;07 15 43.1;-10 35 02; 5.95; 1.18;  K0
109.5092;+40.8833;999.0000;+99.0000; 56221;07 18 02.2;+40 53 00; 5.78; 0.17;  A5Vn
108.0083;-63.1900;999.0000;+99.0000; 56239;07 12 02.0;-63 11 24; 6.02;-0.02;  A0IV-V
108.9479;-23.7406;999.0000;+99.0000; 56341;07 15 47.5;-23 44 26; 6.32;     ;  A0
108.8375;-30.6864;999.0000;+99.0000; 56342;07 15 21.0;-30 41 11; 5.36;-0.17;  B3V
109.5171;+30.9558;999.0000;+99.0000; 56386;07 18 04.1;+30 57 21; 6.24;-0.03;  A0Vn
109.0604;-15.5858;999.0000;+99.0000; 56405;07 16 14.5;-15 35 09; 5.46; 0.08;  A2Vnp
108.7379;-41.4258;999.0000;+99.0000; 56410;07 14 57.1;-41 25 33; 5.94;-0.16;  B4III-IV
109.3242; +6.6806;999.0000;+99.0000; 56446;07 17 17.8;+06 40 50; 6.65;-0.11;  B8III
108.6912;-46.8497;999.0000;+99.0000; 56455;07 14 45.9;-46 50 59; 5.72;-0.11;  A0pSi
108.6592;-48.2717;999.0000;+99.0000; 56456;07 14 38.2;-48 16 18; 4.76;-0.10;  B8-9V
109.5233;+16.5403;999.0000;+99.0000; 56537;07 18 05.6;+16 32 25; 3.58; 0.11;  A3V
109.1533;-23.3156;999.0000;+99.0000; 56577;07 16 36.8;-23 18 56; 4.79; 1.71;  K3Ib-II
109.3821; -6.6800;999.0000;+99.0000; 56614;07 17 31.7;-06 40 48; 6.29; 1.62;  K2
109.1458;-27.8811;999.0000;+99.0000; 56618;07 16 35.0;-27 52 52; 4.64; 1.60;  M3III
108.8375;-52.4997;999.0000;+99.0000; 56705;07 15 21.0;-52 29 59; 5.97; 1.10;  K1III
109.2383;-30.8967;999.0000;+99.0000; 56731;07 16 57.2;-30 53 48; 6.32; 0.20;  A9II
109.1325;-38.3189;999.0000;+99.0000; 56733;07 16 31.8;-38 19 08; 5.80;-0.13;  B4V
109.2062;-36.5928;999.0000;+99.0000; 56779;07 16 49.5;-36 35 34; 5.03;-0.17;  B2IV-V
109.0646;-46.7744;999.0000;+99.0000; 56813;07 16 15.5;-46 46 28; 5.66; 1.44;  K4III
110.5717;+59.9019;999.0000;+99.0000; 56820;07 22 17.2;+59 54 07; 6.35;     ;  A8m
109.2858;-37.0975;999.0000;+99.0000; 56855;07 17 08.6;-37 05 51; 2.70; 1.62;  K3Ib
109.4496;-26.7975;999.0000;+99.0000; 56876;07 17 47.9;-26 47 51; 6.46;-0.15;  B2IV-V
110.2629;+42.6556;999.0000;+99.0000; 56941;07 21 03.1;+42 39 20; 6.35; 1.46;  K0
110.3229;+45.2281;999.0000;+99.0000; 56963;07 21 17.5;+45 13 41; 5.77; 0.32;  A7 s
110.0308;+21.9822;999.0000;+99.0000; 56986;07 20 07.4;+21 58 56; 3.53; 0.34;  F2IV
109.8433; +2.7406;999.0000;+99.0000; 56989;07 19 22.4;+02 44 26; 5.89; 1.07;  G9III
109.9483; +7.1428;999.0000;+99.0000; 57006;07 19 47.6;+07 08 34; 5.91; 0.53;  F8V
110.0288;+15.1428;999.0000;+99.0000; 57049;07 20 06.9;+15 08 34; 6.45;-0.02;  A2Vn
109.6679;-24.5589;999.0000;+99.0000; 57060;07 18 40.3;-24 33 32; 4.98;-0.15;  O7Ia:fp
109.6767;-24.9542;999.0000;+99.0000; 57061;07 18 42.4;-24 57 15; 4.40;-0.15;  O9Ib
110.7121;+55.2844;999.0000;+99.0000; 57102;07 22 50.9;+55 17 04; 6.53;     ;  B9V
110.7171;+55.2814;999.0000;+99.0000; 57103;07 22 52.1;+55 16 53; 5.45;     ;  B8V
109.7583;-19.2803;999.0000;+99.0000; 57118;07 19 02.0;-19 16 49; 6.09; 0.62;  F0Iab-Ib
109.7133;-26.5858;999.0000;+99.0000; 57146;07 18 51.2;-26 35 09; 5.28; 0.96;  G2Ib
109.5767;-36.7342;999.0000;+99.0000; 57150;07 18 18.4;-36 44 03; 4.66;-0.10;  B2V+B3IVne
109.8671;-16.3950;999.0000;+99.0000; 57167;07 19 28.1;-16 23 42; 5.70; 0.35;  F1V
109.5175;-43.9867;999.0000;+99.0000; 57197;07 18 04.2;-43 59 12; 5.85;-0.12;  B8II-III
109.6592;-36.7428;999.0000;+99.0000; 57219;07 18 38.2;-36 44 34; 5.11;-0.16;  B2IVne
109.6400;-39.2103;999.0000;+99.0000; 57240;07 18 33.6;-39 12 37; 5.25; 0.01;  A1V
110.5558;+38.9961;999.0000;+99.0000; 57263;07 22 13.4;+38 59 46; 6.40; 1.22;  K0
110.5108;+36.7606;999.0000;+99.0000; 57264;07 22 02.6;+36 45 38; 5.13; 1.08;  K0III
109.8071;-33.7272;999.0000;+99.0000; 57299;07 19 13.7;-33 43 38; 6.30; 1.31;  K2-3III
110.4867;+20.4436;999.0000;+99.0000; 57423;07 21 56.8;+20 26 37; 5.10; 1.52;  M0IIIab
110.2425;-14.3600;999.0000;+99.0000; 57478;07 20 58.2;-14 21 36; 5.45; 0.98; gG5
113.6654;+80.8967;999.0000;+99.0000; 57508;07 34 39.7;+80 53 48; 6.41;     ; gG7
110.3204; -8.8783;999.0000;+99.0000; 57517;07 21 16.9;-08 52 42; 6.55; 0.54;  F5
110.2217;-22.8517;999.0000;+99.0000; 57573;07 20 53.2;-22 51 06; 6.61;-0.15;  B2.5V
110.2292;-26.9636;999.0000;+99.0000; 57593;07 20 55.0;-26 57 49; 6.01;-0.17;  B2.5V
110.5146; +0.1772;999.0000;+99.0000; 57608;07 22 03.5;+00 10 38; 5.99;-0.07;  B8III
110.2679;-25.8914;999.0000;+99.0000; 57615;07 21 04.3;-25 53 29; 5.87; 1.64;  M4III
109.2075;-67.9572;999.0000;+99.0000; 57623;07 16 49.8;-67 57 26; 3.98; 0.79;  F6II
111.2383;+51.8872;999.0000;+99.0000; 57646;07 24 57.2;+51 53 14; 5.80; 1.61;  K5III
111.0354;+40.6722;999.0000;+99.0000; 57669;07 24 08.5;+40 40 20; 5.19; 1.23;  K1+IIIaCN1
110.5083; -8.9792;999.0000;+99.0000; 57682;07 22 02.0;-08 58 45; 6.43;-0.19;  O9V
110.5771; -2.9789;999.0000;+99.0000; 57708;07 22 18.5;-02 58 44; 6.23; 0.68;  F5
110.8687;+25.0506;999.0000;+99.0000; 57727;07 23 28.5;+25 03 02; 5.03; 0.90;  G8III
111.8575;+66.3317;999.0000;+99.0000; 57742;07 27 25.8;+66 19 54; 6.47;-0.09;  B9III
110.8675;+22.9453;999.0000;+99.0000; 57744;07 23 28.2;+22 56 43; 6.02;-0.01;  A1V
110.6058; -5.9828;999.0000;+99.0000; 57749;07 22 25.4;-05 58 58; 5.82; 0.35;  F3IV
110.5563;-19.0167;999.0000;+99.0000; 57821;07 22 13.5;-19 01 00; 4.96;-0.04;  B7IV
110.0892;-52.3117;999.0000;+99.0000; 57852;07 20 21.4;-52 18 42; 6.05; 0.42;  F0-2IV-V
110.0904;-52.3097;999.0000;+99.0000; 57853;07 20 21.7;-52 18 35; 6.60; 0.59;  G0V:e
110.1612;-52.0861;999.0000;+99.0000; 57917;07 20 38.7;-52 05 10; 5.39;-0.07;  B9II-III
111.1392;+27.6381;999.0000;+99.0000; 57927;07 24 33.4;+27 38 17; 5.76; 0.34;g:F0
111.1154;+15.5172;999.0000;+99.0000; 58050;07 24 27.7;+15 31 02; 6.41;-0.18;  B2Ve
111.6783;+49.2114;999.0000;+99.0000; 58142;07 26 42.8;+49 12 41; 4.64;-0.02;  A1V
110.7525;-31.9239;999.0000;+99.0000; 58155;07 23 00.6;-31 55 26; 5.43;-0.15;  B5IIIn
111.2425;+11.6697;999.0000;+99.0000; 58187;07 24 58.2;+11 40 11; 5.30; 0.10;  A5IV
111.4317;+27.7981;999.0000;+99.0000; 58207;07 25 43.6;+27 47 53; 3.79; 1.03;  G9IIIbHdel -1
110.8712;-27.8342;999.0000;+99.0000; 58215;07 23 29.1;-27 50 03; 5.38; 1.53;  K2III
110.8829;-32.2022;999.0000;+99.0000; 58286;07 23 31.9;-32 12 08; 5.39;-0.18;  B3III-IV
110.9762;-30.2169;999.0000;+99.0000; 58325;07 23 54.3;-30 13 01; 6.60;-0.20;  B2IV-V
111.1671;-16.2011;999.0000;+99.0000; 58343;07 24 40.1;-16 12 04; 5.33;-0.05;  B2.5IVe
111.0717;-22.9128;999.0000;+99.0000; 58346;07 24 17.2;-22 54 46; 6.19;-0.09;  B8
111.0237;-29.3031;999.0000;+99.0000; 58350;07 24 05.7;-29 18 11; 2.45;-0.08;  B5Ia
111.4121; +9.2761;999.0000;+99.0000; 58367;07 25 38.9;+09 16 34; 4.99; 1.01;  G6.5IIb
110.9929;-35.8378;999.0000;+99.0000; 58420;07 23 58.3;-35 50 16; 6.31;-0.15;  B7III
112.7196;+68.4656;999.0000;+99.0000; 58425;07 30 52.7;+68 27 56; 5.64; 1.11; gK2
111.2112;-19.0122;999.0000;+99.0000; 58439;07 24 50.7;-19 00 44; 6.24; 0.29;  A2Ib
111.2846;-13.7519;999.0000;+99.0000; 58461;07 25 08.3;-13 45 07; 5.78; 0.42;  F0V
111.4625; -5.7750;999.0000;+99.0000; 58526;07 25 51.0;-05 46 30; 5.97; 0.92;  G3Ib
111.1825;-31.8089;999.0000;+99.0000; 58535;07 24 43.8;-31 48 32; 5.35; 1.07;  G8II
111.7092;+21.5358;999.0000;+99.0000; 58551;07 26 50.2;+21 32 09; 6.54; 0.46;  F6V
111.6162;+10.6083;999.0000;+99.0000; 58552;07 26 27.9;+10 36 30; 6.37; 0.09;  A2IV
111.7346;+20.2572;999.0000;+99.0000; 58579;07 26 56.3;+20 15 26; 5.93; 0.30;  F2Vn
111.5146; -4.5375;999.0000;+99.0000; 58580;07 26 03.5;-04 32 15; 6.76;-0.01;  A0IV
111.3329;-21.9828;999.0000;+99.0000; 58585;07 25 19.9;-21 58 58; 6.05; 0.23;  A8I-II:
111.6721;+11.0092;999.0000;+99.0000; 58599;07 26 41.3;+11 00 33; 6.41;-0.13;  B6IV
111.3554;-25.2178;999.0000;+99.0000; 58612;07 25 25.3;-25 13 04; 5.78;-0.10;  B7III
111.1967;-37.2900;999.0000;+99.0000; 58634;07 24 47.2;-37 17 24; 6.97; 0.22;  F0V:
111.1971;-37.2908;999.0000;+99.0000; 58635;07 24 47.3;-37 17 27; 6.84; 0.27;  F0V:
112.2150;+48.1839;999.0000;+99.0000; 58661;07 28 51.6;+48 11 02; 5.72;-0.10;  B9pHgMn
111.7875; +8.2894;999.0000;+99.0000; 58715;07 27 09.0;+08 17 22; 2.90;-0.09;  B8Ve
111.9350;+21.4450;999.0000;+99.0000; 58728;07 27 44.4;+21 26 42; 5.22; 0.39;  F5V+F5V
111.4292;-31.7386;999.0000;+99.0000; 58766;07 25 43.0;-31 44 19; 6.31;-0.17;  B2V
101.7446;-87.0250;999.0000;+99.0000; 58805;06 46 58.7;-87 01 30; 6.47; 0.42;  F3V
112.4833;+49.6725;999.0000;+99.0000; 58855;07 29 56.0;+49 40 21; 5.36; 0.45;  F6V
111.6696;-23.7122;999.0000;+99.0000; 58907;07 26 40.7;-23 42 44; 6.56; 0.01;  A1
112.0087; +6.9419;999.0000;+99.0000; 58923;07 28 02.1;+06 56 31; 5.25; 0.22;  F0III
112.2779;+31.7844;999.0000;+99.0000; 58946;07 29 06.7;+31 47 04; 4.18; 0.32;  F0V
111.7833;-17.8644;999.0000;+99.0000; 58954;07 27 08.0;-17 51 52; 5.63; 0.32;  A5n
112.0408; +8.9256;999.0000;+99.0000; 58972;07 28 09.8;+08 55 32; 4.32; 1.43;  K3-IIIFe-0.5
111.7475;-23.0861;999.0000;+99.0000; 58978;07 26 59.4;-23 05 10; 5.61;-0.13;  B0IV:pe
111.6762;-34.1408;999.0000;+99.0000; 59026;07 26 42.3;-34 08 27; 5.90;-0.17;  B2IV-V
112.3350;+28.1181;999.0000;+99.0000; 59037;07 29 20.4;+28 07 05; 5.05; 0.11;  A4V
112.1971;+15.1094;999.0000;+99.0000; 59059;07 28 47.3;+15 06 34; 6.22;-0.05;  B9IV
111.9654;-11.5569;999.0000;+99.0000; 59067;07 27 51.7;-11 33 25; 5.79; 0.58;  G8Ib-II+B2+B8V
111.9287;-22.8597;999.0000;+99.0000; 59136;07 27 42.9;-22 51 35; 5.95;-0.09;  B5V:
112.4529;+27.9161;999.0000;+99.0000; 59148;07 29 48.7;+27 54 58; 5.01; 1.11;  K2III
111.5912;-51.0183;999.0000;+99.0000; 59219;07 26 21.9;-51 01 06; 5.10; 1.06;  K0III
111.9967;-29.1558;999.0000;+99.0000; 59256;07 27 59.2;-29 09 21; 5.54;-0.08;  B9VpSi:
112.4492;+12.0067;999.0000;+99.0000; 59294;07 29 47.8;+12 00 24; 4.54; 1.28;  K1+IIIBa0.4
112.3279; -1.9053;999.0000;+99.0000; 59311;07 29 18.7;-01 54 19; 5.59; 1.50;  K5III
112.3571; -7.5511;999.0000;+99.0000; 59380;07 29 25.7;-07 33 04; 5.86; 0.48;  F8V
112.3421;-10.3267;999.0000;+99.0000; 59381;07 29 22.1;-10 19 36; 5.75; 1.62;  K5III
112.3412;-14.9992;999.0000;+99.0000; 59438;07 29 21.9;-14 59 57; 6.05; 0.47;  F7V
112.0950;-37.8103;999.0000;+99.0000; 59466;07 28 22.8;-37 48 37; 6.58; 0.06;  A1IV
112.2137;-31.8483;999.0000;+99.0000; 59499;07 28 51.3;-31 50 54; 6.38;-0.17;  B3V
112.2146;-31.8469;999.0000;+99.0000; 59500;07 28 51.5;-31 50 49; 7.13;-0.15;  B4V
112.9821;+38.8964;999.0000;+99.0000; 59507;07 31 55.7;+38 53 47; 6.54; 0.07;  A2V
112.2704;-31.4564;999.0000;+99.0000; 59550;07 29 04.9;-31 27 23; 5.77;-0.19;  B2V
112.4642;-23.0244;999.0000;+99.0000; 59612;07 29 51.4;-23 01 28; 4.85; 0.23;  A5Ib
112.2737;-38.8122;999.0000;+99.0000; 59635;07 29 05.7;-38 48 44; 5.43;-0.16;  B5Vp
112.7129; -5.2264;999.0000;+99.0000; 59669;07 30 51.1;-05 13 35; 6.24; 1.18;  K0
112.9517;+17.0861;999.0000;+99.0000; 59686;07 31 48.4;+17 05 10; 5.42; 1.13; gK2
112.3075;-43.3014;999.0000;+99.0000; 59717;07 29 13.8;-43 18 05; 3.25; 1.51;  K5III
113.2108;+22.8878;999.0000;+99.0000; 59878;07 32 50.6;+22 53 16; 6.54; 1.01;  K0II-III+F8V
113.0246; +1.9144;999.0000;+99.0000; 59881;07 32 05.9;+01 54 52; 5.25; 0.22;  F0III
112.6771;-30.9622;999.0000;+99.0000; 59890;07 30 42.5;-30 57 44; 4.65; 0.93;  G3Ib
112.6767;-37.3397;999.0000;+99.0000; 59967;07 30 42.4;-37 20 23; 6.65; 0.63;  G4V
113.0242; -8.8808;999.0000;+99.0000; 59984;07 32 05.8;-08 52 51; 5.90; 0.54;  F5V
112.4983;-52.6511;999.0000;+99.0000; 60060;07 29 59.6;-52 39 04; 5.87; 1.01;  K0III
112.8575;-36.1528;999.0000;+99.0000; 60098;07 31 25.8;-36 09 10; 6.68;-0.12;  B4V
113.4021;+15.8267;999.0000;+99.0000; 60107;07 33 36.5;+15 49 36; 5.25; 0.05;  A1Vn
113.2983; +3.2903;999.0000;+99.0000; 60111;07 33 11.6;+03 17 25; 5.59; 0.31;  F2V
112.2137;-64.5100;999.0000;+99.0000; 60150;07 28 51.3;-64 30 36; 6.39; 1.56;  K5III
112.9283;-35.8878;999.0000;+99.0000; 60168;07 31 42.8;-35 53 16; 6.61;-0.08;  A0V
113.6500;+31.8886;999.0000;+99.0000; 60178;07 34 36.0;+31 53 19; 2.88; 0.04;  A2Vm
113.6500;+31.8883;999.0000;+99.0000; 60179;07 34 36.0;+31 53 18; 1.98; 0.03;  A1V
112.6287;-54.3994;999.0000;+99.0000; 60228;07 30 30.9;-54 23 58; 5.96; 1.56;  M1III
113.5212;+10.5683;999.0000;+99.0000; 60275;07 34 05.1;+10 34 06; 6.28;-0.01;  A1V
114.1958;+55.7553;999.0000;+99.0000; 60294;07 36 47.0;+55 45 19; 5.92; 1.12;  K2III
113.0929;-35.9614;999.0000;+99.0000; 60312;07 32 22.3;-35 57 41; 6.30;-0.10;  B9V
113.7862;+30.9611;999.0000;+99.0000; 60318;07 35 08.7;+30 57 40; 5.33; 1.01;  K0III
113.3421;-14.3383;999.0000;+99.0000; 60325;07 33 22.1;-14 20 18; 6.21;-0.04;  B1V
113.9833;+43.0311;999.0000;+99.0000; 60335;07 35 56.0;+43 01 52; 6.30;     ;  F0
113.3312;-19.4125;999.0000;+99.0000; 60341;07 33 19.5;-19 24 45; 5.66; 1.12;  K3III
113.2904;-24.7108;999.0000;+99.0000; 60345;07 33 09.7;-24 42 39; 5.85; 0.17;  A7V:
113.5658; +3.3714;999.0000;+99.0000; 60357;07 34 15.8;+03 22 17; 5.81;-0.02;  A0Vnn
113.4496;-14.5239;999.0000;+99.0000; 60414;07 33 47.9;-14 31 26; 4.97; 1.41;  M2Iabpe+B2V
114.1317;+46.1803;999.0000;+99.0000; 60437;07 36 31.6;+46 10 49; 5.65; 1.56;  M0III
113.6917; +2.7250;999.0000;+99.0000; 60489;07 34 46.0;+02 43 30; 6.55; 0.22;  A7III
113.9804;+26.8958;999.0000;+99.0000; 60522;07 35 55.3;+26 53 45; 4.06; 1.54;  M0III-IIIb
113.5133;-22.2961;999.0000;+99.0000; 60532;07 34 03.2;-22 17 46; 4.45; 0.51;  F6IV
113.3062;-40.0589;999.0000;+99.0000; 60559;07 33 13.5;-40 03 32; 6.26;-0.12;  B8IVpSi
113.3054;-43.0864;999.0000;+99.0000; 60574;07 33 13.3;-43 05 11; 6.52; 0.92;  G8III
113.5775;-23.4736;999.0000;+99.0000; 60584;07 34 18.6;-23 28 25; 5.83; 0.44; dF4
113.5796;-23.4747;999.0000;+99.0000; 60585;07 34 19.1;-23 28 29; 5.87;     ; dF6
113.4625;-36.3383;999.0000;+99.0000; 60606;07 33 51.0;-36 20 18; 5.54;-0.06;  B3Vne
113.6200;-26.1167;999.0000;+99.0000; 60629;07 34 28.8;-26 07 00; 6.65;-0.01;  A0V
113.5533;-33.4633;999.0000;+99.0000; 60646;07 34 12.8;-33 27 48; 6.11; 0.29;  A9IV
114.4746;+48.7736;999.0000;+99.0000; 60652;07 37 53.9;+48 46 25; 5.92; 0.22;  A5m
114.3242;+40.0253;999.0000;+99.0000; 60654;07 37 17.8;+40 01 31; 6.38;     ;  M1
113.6454;-27.0119;999.0000;+99.0000; 60666;07 34 34.9;-27 00 43; 5.77; 1.06;  K1III
113.4938;-39.9058;999.0000;+99.0000; 60686;07 33 58.5;-39 54 21; 6.76; 1.13;  K2III
114.1446; +5.8617;999.0000;+99.0000; 60803;07 36 34.7;+05 51 42; 5.91; 0.60;  G0V
111.4083;-79.0942;999.0000;+99.0000; 60816;07 25 38.0;-79 05 39; 5.53; 1.28;  K2-3III
114.0692; -8.3114;999.0000;+99.0000; 60853;07 36 16.6;-08 18 41; 6.27; 1.54;  K2
114.0162;-14.4928;999.0000;+99.0000; 60855;07 36 03.9;-14 29 34; 5.70;-0.12;  B2Ve
113.8450;-28.3694;999.0000;+99.0000; 60863;07 35 22.8;-28 22 10; 4.64;-0.11;  B8V
114.0325;-22.1606;999.0000;+99.0000; 60951;07 36 07.8;-22 09 38; 6.34; 0.99;  G5
114.6367;+35.0486;999.0000;+99.0000; 60986;07 38 32.8;+35 02 55; 5.56; 0.93;  K0III
113.6646;-51.4747;999.0000;+99.0000; 61031;07 34 39.5;-51 28 29; 6.28; 0.08;  A1III-IV
114.5604;+24.3603;999.0000;+99.0000; 61035;07 38 14.5;+24 21 37; 6.27;     ;  F0
114.3196; -4.1111;999.0000;+99.0000; 61064;07 37 16.7;-04 06 40; 5.13; 0.44;  F6III
114.1708;-19.7022;999.0000;+99.0000; 61068;07 36 41.0;-19 42 08; 5.74;-0.19;  B2III
115.2062;+57.0828;999.0000;+99.0000; 61106;07 40 49.5;+57 04 58; 6.06; 1.46;  K5III
114.7912;+34.5842;999.0000;+99.0000; 61110;07 39 09.9;+34 35 03; 4.90; 0.40;  F3III
114.7996;+24.2225;999.0000;+99.0000; 61219;07 39 11.9;+24 13 21; 6.17; 0.01;  A2V
114.4121;-14.4411;999.0000;+99.0000; 61224;07 37 38.9;-14 26 28; 6.53;-0.01;  B9IIIe
114.3200;-23.7750;999.0000;+99.0000; 61227;07 37 16.8;-23 46 30; 6.37; 0.54;  F0II
113.9154;-52.5339;999.0000;+99.0000; 61248;07 35 39.7;-52 32 02; 4.94; 1.40;  K3III
115.0608;+38.3444;999.0000;+99.0000; 61294;07 40 14.6;+38 20 40; 5.73; 1.63;  M0III
114.9754;+32.0097;999.0000;+99.0000; 61295;07 39 54.1;+32 00 35; 6.17; 0.35;  F6II
114.3421;-34.9686;999.0000;+99.0000; 61330;07 37 22.1;-34 58 07; 4.53;-0.09;  B8IV
114.8692;+17.6747;999.0000;+99.0000; 61338;07 39 28.6;+17 40 29; 5.05; 1.56;  K5IIIFe-0.5
115.3017;+48.1317;999.0000;+99.0000; 61363;07 41 12.4;+48 07 54; 5.56; 1.01;  K0III
114.1829;-48.8303;999.0000;+99.0000; 61391;07 36 43.9;-48 49 49; 5.72;-0.06;  B9.5V
114.0071;-55.8875;999.0000;+99.0000; 61394;07 36 01.7;-55 53 15; 6.39; 1.18;  K1-2IIICNII
114.4367;-35.2772;999.0000;+99.0000; 61409;07 37 44.8;-35 16 38; 6.60; 1.14;  K1III
114.8254; +5.2250;999.0000;+99.0000; 61421;07 39 18.1;+05 13 30; 0.38; 0.42;  F5IV-V
114.5750;-25.3647;999.0000;+99.0000; 61429;07 38 18.0;-25 21 53; 4.70;-0.11;  B8IV
114.4383;-38.0106;999.0000;+99.0000; 61453;07 37 45.2;-38 00 38; 6.38; 1.48;  K4III
115.7517;+58.7103;999.0000;+99.0000; 61497;07 43 00.4;+58 42 37; 4.99; 0.08;  A3IVn
114.7796;-18.6792;999.0000;+99.0000; 61554;07 39 07.1;-18 40 45; 6.72;-0.10;  B6Vn
114.7054;-26.8017;999.0000;+99.0000; 61555;07 38 49.3;-26 48 06; 4.50;-0.17;  B6V
114.7075;-26.8036;999.0000;+99.0000; 61556;07 38 49.8;-26 48 13; 4.62;     ;  B5IVn
115.0292; +5.2308;999.0000;+99.0000; 61563;07 40 07.0;+05 13 51; 6.02;-0.04;  A0III
115.2438;+23.0186;999.0000;+99.0000; 61603;07 40 58.5;+23 01 07; 5.89; 1.58;  K5
114.6008;-39.9914;999.0000;+99.0000; 61623;07 38 24.2;-39 59 29; 6.59;-0.05;  A0
115.1971;+13.7708;999.0000;+99.0000; 61630;07 40 47.3;+13 46 15; 6.24;     ;  K0
114.6829;-36.4969;999.0000;+99.0000; 61641;07 38 43.9;-36 29 49; 5.80;-0.16;  B2IV-V
114.6358;-38.7811;999.0000;+99.0000; 61642;07 38 32.6;-38 46 52; 6.19; 1.02;  G8III
114.8621;-26.8631;999.0000;+99.0000; 61672;07 39 26.9;-26 51 47; 6.50;-0.10;  B7V
114.5758;-48.6011;999.0000;+99.0000; 61715;07 38 18.2;-48 36 04; 5.68; 0.65;  F4Iab
115.1479; -8.1858;999.0000;+99.0000; 61749;07 40 35.5;-08 11 09; 6.01; 0.15;  A3IV
115.0967;-15.2636;999.0000;+99.0000; 61772;07 40 23.2;-15 15 49; 4.94; 1.56;  K3II
115.0567;-19.6608;999.0000;+99.0000; 61774;07 40 13.6;-19 39 39; 5.93; 1.16;  K0
114.8642;-38.3083;999.0000;+99.0000; 61831;07 39 27.4;-38 18 30; 4.84;-0.19;  B2.5V
115.6812;+34.0003;999.0000;+99.0000; 61859;07 42 43.5;+34 00 01; 6.02;     ;  F7V
114.9325;-38.1394;999.0000;+99.0000; 61878;07 39 43.8;-38 08 22; 5.73;-0.12;  B5Vn
114.9492;-38.2608;999.0000;+99.0000; 61899;07 39 47.8;-38 15 39; 5.76;-0.07;  B2.5V
115.4658;+13.4806;999.0000;+99.0000; 61885;07 41 51.8;+13 28 50; 5.77; 1.67;  M2IIIab
115.3967; +3.6247;999.0000;+99.0000; 61887;07 41 35.2;+03 37 29; 5.94;-0.04;  A0V
115.5133;+14.2083;999.0000;+99.0000; 61913;07 42 03.2;+14 12 30; 5.56; 1.64;  M3II-III
114.9917;-37.5794;999.0000;+99.0000; 61925;07 39 58.0;-37 34 46; 6.00;-0.04;  B6IVe
116.0175;+50.4339;999.0000;+99.0000; 61931;07 44 04.2;+50 26 02; 5.27; 0.00;  A0IIIn
115.3117; -9.5511;999.0000;+99.0000; 61935;07 41 14.8;-09 33 04; 3.93; 1.02;  K0III
114.7517;-53.2733;999.0000;+99.0000; 61966;07 39 00.4;-53 16 24; 6.06;-0.11;  B9IV-Vp:Si:
115.1808;-27.9458;999.0000;+99.0000; 61987;07 40 43.4;-27 56 45; 6.76;-0.16;  B3-5IV-V:
115.8279;+28.8836;999.0000;+99.0000; 62044;07 43 18.7;+28 53 01; 4.28; 1.12;  K1III
115.2196;-31.6608;999.0000;+99.0000; 62058;07 40 52.7;-31 39 39; 6.56; 1.18;  G20-Ia
116.6671;+65.4558;999.0000;+99.0000; 62066;07 46 40.1;+65 27 21; 5.92; 1.18; gK2
115.3483;-22.3372;999.0000;+99.0000; 62082;07 41 23.6;-22 20 14; 6.18; 1.62;  M1III
116.6142;+62.8306;999.0000;+99.0000; 62140;07 46 27.4;+62 49 50; 6.49; 0.26;  F0pSrEu
115.8425;+22.3994;999.0000;+99.0000; 62141;07 43 22.2;+22 23 58; 6.21; 0.93;  K0III
113.8404;-74.2756;999.0000;+99.0000; 62153;07 35 21.7;-74 16 32; 7.16;-0.02;  B9IV
113.8408;-74.2756;999.0000;+99.0000; 62154;07 35 21.8;-74 16 32; 7.26;     ;  B9IV
115.3158;-38.5336;999.0000;+99.0000; 62226;07 41 15.8;-38 32 01; 5.42;-0.15;  B5V
115.7725; +0.1894;999.0000;+99.0000; 62264;07 43 05.4;+00 11 22; 6.19; 1.02;  K0III
116.0288;+25.7842;999.0000;+99.0000; 62285;07 44 06.9;+25 47 03; 5.31; 1.54;  K4-5III
115.3408;-44.6322;999.0000;+99.0000; 62318;07 41 21.8;-44 37 56; 6.41; 0.00;  B7IV-V
116.1117;+24.3981;999.0000;+99.0000; 62345;07 44 26.8;+24 23 53; 3.57; 0.93;  G8IIIa
115.4917;-38.5289;999.0000;+99.0000; 62376;07 41 58.0;-38 31 44; 6.54;-0.09;  B7V
116.0583;+12.8594;999.0000;+99.0000; 62407;07 44 14.0;+12 51 34; 6.43;     ;  K0
