_RAJ2000;_DEJ2000;;_1;HD;RAJ2000;DEJ2000;Vmag;B-V;SpType
004.0371;-31.4464;999.0000;+99.0000;  1187;00 16 08.9;-31 26 47; 5.67; 1.35;  K5III
003.9800;-75.9114;999.0000;+99.0000;  1221;00 15 55.2;-75 54 41; 6.49; 1.00;  G8-K0III
004.1421; +8.2400;999.0000;+99.0000;  1227;00 16 34.1;+08 14 24; 6.11; 0.92;  G8II-III
004.2379;+61.5333;999.0000;+99.0000;  1239;00 16 57.1;+61 32 00; 5.74; 0.88;  G8III
004.1771;-20.2106;999.0000;+99.0000;  1256;00 16 42.5;-20 12 38; 6.47;-0.09;  B8III
004.2879;+47.9475;999.0000;+99.0000;  1279;00 17 09.1;+47 56 51; 5.89;-0.09;  B7III
004.2729;+38.6817;999.0000;+99.0000;  1280;00 17 05.5;+38 40 54; 4.61; 0.06;  A2V
004.2042;-78.7806;999.0000;+99.0000;  1324;00 16 49.0;-78 46 50; 6.77; 0.46;  F3III
004.4292;+51.4331;999.0000;+99.0000;  1337;00 17 43.0;+51 25 59; 6.14;-0.13;  O9IIInn
004.3858;-19.0511;999.0000;+99.0000;  1343;00 17 32.6;-19 03 04; 6.45; 0.37;  F4IV-V
004.4487; +1.6889;999.0000;+99.0000;  1367;00 17 47.7;+01 41 20; 6.17; 0.94;  K0II
004.5821;+36.7853;999.0000;+99.0000;  1404;00 18 19.7;+36 47 07; 4.52; 0.05;  A2V
004.5717;+11.2058;999.0000;+99.0000;  1419;00 18 17.2;+11 12 21; 6.05; 1.03;  K0III
004.6754;+43.7911;999.0000;+99.0000;  1438;00 18 42.1;+43 47 28; 6.11;-0.08;  B8V
004.6596;+31.5172;999.0000;+99.0000;  1439;00 18 38.3;+31 31 02; 5.87;-0.01;  A0IV
004.6742; -8.0528;999.0000;+99.0000;  1461;00 18 41.8;-08 03 10; 6.46; 0.68;  G0V
004.6775;-43.2353;999.0000;+99.0000;  1483;00 18 42.6;-43 14 07; 6.33; 1.21;  K2III
004.8571; -8.8239;999.0000;+99.0000;  1522;00 19 25.7;-08 49 26; 3.56; 1.22;  K1.5III
004.9233;+40.7297;999.0000;+99.0000;  1527;00 19 41.6;+40 43 47; 6.33; 1.18;  K1III
005.0217;+48.8653;999.0000;+99.0000;  1561;00 20 05.2;+48 51 55; 6.52;     ;  A0V s
005.0179;-64.8747;999.0000;+99.0000;  1581;00 20 04.3;-64 52 29; 4.23; 0.58;  F9V
005.1017;+30.9358;999.0000;+99.0000;  1606;00 20 24.4;+30 56 09; 5.90;-0.10;  B7V
005.1896;+32.9114;999.0000;+99.0000;  1632;00 20 45.5;+32 54 41; 5.79; 1.59;  K5III
005.1496; +8.1903;999.0000;+99.0000;  1635;00 20 35.9;+08 11 25; 5.37; 1.34; gK3
005.2271;+10.9769;999.0000;+99.0000;  1663;00 20 54.5;+10 58 37; 6.56;     ;  A0V
005.2804;+37.9686;999.0000;+99.0000;  1671;00 21 07.3;+37 58 07; 5.18; 0.42;  F5III
005.1625;-69.6250;999.0000;+99.0000;  1685;00 20 39.0;-69 37 30; 5.51;-0.05;  B9V
005.3800;-28.9817;999.0000;+99.0000;  1737;00 21 31.2;-28 58 54; 5.18; 1.00;  G5III
005.4429;-20.0578;999.0000;+99.0000;  1760;00 21 46.3;-20 03 28; 5.12; 1.82;  M5IIe
005.6062;+13.4825;999.0000;+99.0000;  1796;00 22 25.5;+13 28 57; 6.23; 1.22;  K3III
005.3692;-77.4269;999.0000;+99.0000;  1801;00 21 28.6;-77 25 37; 5.97; 1.40;  K3III
005.7158;-12.2094;999.0000;+99.0000;  1835;00 22 51.8;-12 12 34; 6.39; 0.66;  G2V
005.8025;-31.0361;999.0000;+99.0000;  1909;00 23 12.6;-31 02 10; 6.55; 0.00;  B9IVMn
006.0083;+38.5772;999.0000;+99.0000;  1967;00 24 02.0;+38 34 38; 7.39; 1.97;  S6.5IIIeZr6Ti2
006.0650;+52.0200;999.0000;+99.0000;  1976;00 24 15.6;+52 01 12; 5.57;-0.12;  B5IV
        ;        ;        ;        ;      ;          ;         ;     ;     ;
006.1979;+61.8311;999.0000;+99.0000;  2011;00 24 47.5;+61 49 52; 5.40; 0.00;  B9III
006.1237; -2.2192;999.0000;+99.0000;  2023;00 24 29.7;-02 13 09; 6.07; 1.22;  K1III
        ;        ;        ;        ;      ;          ;         ;     ;     ;
006.2767;+53.0469;999.0000;+99.0000;  2054;00 25 06.4;+53 02 49; 5.74;-0.06;  B9IV
006.3508; +1.9397;999.0000;+99.0000;  2114;00 25 24.2;+01 56 23; 5.77; 0.86;  G5III
006.4379;-77.2542;999.0000;+99.0000;  2151;00 25 45.1;-77 15 15; 2.80; 0.62;  G2IV
006.5708;-42.3061;999.0000;+99.0000;  2261;00 26 17.0;-42 18 22; 2.39; 1.09;  K0III
006.5508;-43.6800;999.0000;+99.0000;  2262;00 26 12.2;-43 40 48; 3.94; 0.17;  A7V
006.6558; -0.0497;999.0000;+99.0000;  2273;00 26 37.4;-00 02 59; 6.19; 0.90;  G8III
006.8112;-25.5472;999.0000;+99.0000;  2363;00 27 14.7;-25 32 50; 5.98; 1.03;  G8III
007.0121;+17.8931;999.0000;+99.0000;  2411;00 28 02.9;+17 53 35; 5.06; 1.65;  M3III
007.0571;+44.3944;999.0000;+99.0000;  2421;00 28 13.7;+44 23 40; 5.17; 0.03;  A2V s
006.9821;-33.0072;999.0000;+99.0000;  2429;00 27 55.7;-33 00 26; 4.81; 1.64;  M4III
007.0529;+16.4450;999.0000;+99.0000;  2436;00 28 12.7;+16 26 42; 6.06; 1.58;  K5III
007.0837;+10.1897;999.0000;+99.0000;  2454;00 28 20.1;+10 11 23; 6.04; 0.43;  F6Va vw
007.0879;-20.3350;999.0000;+99.0000;  2475;00 28 21.1;-20 20 06; 6.43; 0.59;  G0V
007.1100;-39.9150;999.0000;+99.0000;  2490;00 28 26.4;-39 54 54; 5.43; 1.56;  M0III
007.2358;+36.9000;999.0000;+99.0000;  2507;00 28 56.6;+36 54 00; 6.26; 0.92;  G5III
007.1796;-50.5328;999.0000;+99.0000;  2529;00 28 43.1;-50 31 58; 6.26; 1.09;  K0III
007.7292;+77.0194;999.0000;+99.0000;  2589;00 30 55.0;+77 01 10; 6.21; 0.84;  K0IV
007.5829;+59.9772;999.0000;+99.0000;  2626;00 30 19.9;+59 58 38; 5.94; 0.01;  B9IIIn
007.5304;+29.7517;999.0000;+99.0000;  2628;00 30 07.3;+29 45 06; 5.23; 0.24;  A7III
007.4662;-14.8642;999.0000;+99.0000;  2630;00 29 51.9;-14 51 51; 6.14; 0.37;  F2III
007.4537;-32.1167;999.0000;+99.0000;  2632;00 29 48.9;-32 07 00; 6.57; 1.34;  K4III
007.5100; -3.9572;999.0000;+99.0000;  2637;00 30 02.4;-03 57 26; 5.72; 1.56;  M0III
007.5946;-23.7878;999.0000;+99.0000;  2696;00 30 22.7;-23 47 16; 5.19; 0.12;  A5Vn
007.6158;-40.9394;999.0000;+99.0000;  2724;00 30 27.8;-40 56 22; 6.19; 0.33;  F2III
