Experiment	Energy	Bin	Flux	Item	Error	ErrorStat	ErrorSyst	phi	Flux_min	Flux_max
AMS02	1.07E+01	"[1.030e+1,1.100e+1]"	1.01E-02	positron	4.00E-04	1.00E-04	3.00E-04	0	9.70E-03	1.05E-02
AMS02	1.14E+01	"[1.100e+1,1.180e+1]"	8.30E-03	positron	3.10E-04	1.00E-04	2.10E-04	0	7.99E-03	8.61E-03
AMS02	1.22E+01	"[1.180e+1,1.260e+1]"	6.81E-03	positron	2.60E-04	9.00E-05	1.70E-04	0	6.55E-03	7.07E-03
AMS02	1.30E+01	"[1.260e+1,1.340e+1]"	5.76E-03	positron	2.20E-04	8.00E-05	1.40E-04	0	5.54E-03	5.98E-03
AMS02	1.38E+01	"[1.340e+1,1.420e+1]"	4.60E-03	positron	1.80E-04	7.00E-05	1.10E-04	0	4.42E-03	4.78E-03
AMS02	1.47E+01	"[1.420e+1,1.510e+1]"	3.84E-03	positron	1.50E-04	6.00E-05	9.00E-05	0	3.69E-03	3.99E-03
AMS02	1.56E+01	"[1.510e+1,1.610e+1]"	3.33E-03	positron	1.30E-04	5.00E-05	8.00E-05	0	3.20E-03	3.46E-03
AMS02	1.65E+01	"[1.610e+1,1.700e+1]"	2.81E-03	positron	1.20E-04	5.00E-05	7.00E-05	0	2.69E-03	2.93E-03
AMS02	1.75E+01	"[1.700e+1,1.800e+1]"	2.37E-03	positron	1.00E-04	4.00E-05	6.00E-05	0	2.27E-03	2.47E-03
AMS02	1.85E+01	"[1.800e+1,1.900e+1]"	2.01E-03	positron	9.00E-05	4.00E-05	5.00E-05	0	1.92E-03	2.10E-03
AMS02	1.95E+01	"[1.900e+1,2.000e+1]"	1.74E-03	positron	7.00E-05	3.00E-05	4.00E-05	0	1.67E-03	1.81E-03
AMS02	2.06E+01	"[2.000e+1,2.110e+1]"	1.44E-03	positron	7.00E-05	3.00E-05	4.00E-05	0	1.37E-03	1.51E-03
AMS02	2.17E+01	"[2.110e+1,2.220e+1]"	1.22E-03	positron	6.00E-05	3.00E-05	3.00E-05	0	1.16E-03	1.28E-03
AMS02	2.28E+01	"[2.220e+1,2.340e+1]"	1.05E-03	positron	5.00E-05	2.00E-05	3.00E-05	0	1.00E-03	1.10E-03
AMS02	2.40E+01	"[2.340e+1,2.460e+1]"	9.33E-04	positron	4.50E-05	2.20E-05	2.30E-05	0	8.88E-04	9.78E-04
